,places/Abandoned_mine_shaft.txt,places/Biome.txt,places/biomes.txt,places/Cavern.txt,places/Desert_temple.txt,places/Dungeon.txt,places/dungeons.txt,places/Generated_Structures.txt,places/huge-mushroom.txt,places/Huge_mushroom.txt,places/Huge_Mushrooms.txt,places/Jungle_temple.txt,places/Moss_Stone_Boulder.txt,places/Nether_fortress.txt,places/Nether_Portal.txt,places/Obsidian_pillar.txt,places/Ocean_monument.txt,places/Ocean_monument_structure.txt,places/Stronghold.txt,places/The_End.txt,places/The_Nether.txt,places/The_Overworld.txt,places/The_Void.txt,places/Tree.txt,places/Village.txt,places/Village_structures.txt
point,0.0023448454863872104,0.0007206509993087584,0.0,0.00045417403404711924,0.0,0.0,0.0,0.0008900635634884594,0.0,0.0,0.0,0.0,0.0,0.0009450980281011046,0.0008894241500089418,0.006656335574260468,0.004182697354096105,0.0,0.0013620224607397656,0.001536077440213954,0.0,0.0028223672115785265,0.0,0.00024613885026092386,0.002256522023351969,0.0
larg,0.0016094060377472195,0.002473126856608067,0.005112914488150011,0.004987623700252571,0.0,0.0010729373584981463,0.0006798131103444255,0.002036344088019487,0.0014115720729743055,0.0,0.0,0.0,0.0,0.0012973532640160792,0.00040697623943033133,0.0,0.004306248587485803,0.0029712111466102514,0.0018696730207492449,0.0,0.0014210140266396852,0.0,0.0010543007294423472,0.002196215316719068,0.0,0.0
room,0.0055171342702466,0.0,0.0,0.0014248211761752044,0.001949830585468678,0.004904119351330311,0.006214500042005771,0.0013961403760796574,0.0,0.0,0.0017915417556520325,0.006430567096446368,0.0,0.014083432824202009,0.0,0.0,0.013121832858964889,0.025463696631907385,0.02136448034242908,0.0006023670170988844,0.0004059429897840308,0.0,0.0,0.0,0.0005899244420190775,0.0
flat,0.00624491903631584,0.0,0.007935781591275002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006083611164529083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006555302686232134,0.0,0.0
dirt,0.00977501437753536,0.0,0.002070279820031556,0.0012622175571872511,0.0,0.0,0.0,0.0020613497848624767,0.0028578115123691415,0.009629118640557219,0.003174174410417386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000719231827109625,0.0,0.0,0.0030782550246552702,0.0020904040467147303,0.0
arch,0.008179864580883985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003296922518096751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceil,0.00325833812584512,0.0,0.0,0.0012622175571872511,0.0034546235551128975,0.0021722254172300798,0.0,0.0016490798278899815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002906085355483485,0.0030076967315493413,0.0,0.0,0.000719231827109625,0.0013072967556582243,0.0,0.0010260850082184235,0.0,0.0
four,0.003619361534194835,0.0,0.0,0.0,0.0038373953615559687,0.0024129076894632232,0.0,0.0004579494105091955,0.0,0.0,0.0,0.0,0.0,0.0014587960992785288,0.0004576204238637147,0.0,0.0,0.00668189821697508,0.00315350311890243,0.0,0.0,0.0,0.0,0.0018996251392195552,0.0,0.0
exit,0.004970402988508215,0.0,0.0,0.0019254385751521184,0.0,0.0,0.0,0.0009433403227650386,0.0,0.0,0.0,0.0,0.0,0.0020033379984216314,0.0,0.0,0.0,0.0,0.018766141976413856,0.011396159705661515,0.0,0.0,0.0,0.0,0.0,0.0
one,0.004178690683242243,0.0,0.005310105128163428,0.002158325928835318,0.0,0.0027857937888281616,0.0023534385928020312,0.001938640106100403,0.0,0.0041163221655819105,0.0,0.0,0.0,0.002807059390269598,0.0021133608053179155,0.0,0.004969253785477261,0.01221463430486194,0.00687714110245368,0.0009124684370355268,0.0027671597166620873,0.0005588522494305735,0.0,0.003070465360887342,0.004468101824122933,0.0
